wavelength,temp 10 strain 20,temp 20 strain 40,temp 30 strain 60,temp 40 strain 80,temp 50 strain 100,temp 25 strain 500,temp 25 strain 1000,reference temp 25 strain 0
1.559020000E-06,-31.96745718,-31.57009118,-30.70056035,-29.62752056,-28.93636422,-13.10753964,-15.34582891,-16.47603805
1.559020000E-06,-31.86095504,-31.50002424,-30.64313089,-29.6251373,-28.92236773,-13.0551499,-15.32118618,-16.40169792
1.559020000E-06,-31.76229261,-31.41011259,-30.59182133,-29.60029038,-28.92128877,-13.05140964,-15.29067096,-16.39637736
1.559020000E-06,-31.72842222,-31.33676896,-30.57450461,-29.59014028,-28.90983778,-13.01450313,-15.26662422,-16.34371017
1.559020000E-06,-31.61024094,-31.3254409,-30.55351383,-29.54587551,-28.90349935,-12.99548891,-15.26305538,-16.31651031
1.559020000E-06,-31.56773002,-31.286122,-30.51553317,-29.50608292,-28.87996307,-12.92976219,-15.25117528,-16.22239884
1.559020000E-06,-31.48645733,-31.21878289,-30.50027222,-29.47224382,-28.87403583,-12.91431732,-15.23156067,-16.20025884
1.559020000E-06,-31.33880203,-31.17482792,-30.48044836,-29.44025871,-28.86534272,-12.89306938,-15.21920534,-16.16969911
1.559020000E-06,-31.10336038,-31.15471581,-30.47000189,-29.40073059,-28.8561612,-12.87198778,-15.21376764,-16.13928733
1.559020000E-06,-31.04224767,-31.06563292,-30.43734046,-29.3903249,-28.84980803,-12.85825372,-15.19049751,-16.11940812
1.559020000E-06,-30.93421212,-30.93709949,-30.4024576,-29.36429463,-28.83741015,-12.8329841,-15.15773821,-16.08271763
1.559020000E-06,-30.8349541,-30.79015531,-30.34941587,-29.34236106,-28.81167716,-12.78355243,-15.1209928,-16.01085607
1.559020000E-06,-30.78862314,-30.735278,-30.25653874,-29.31700999,-28.78797807,-12.74061882,-15.1076073,-15.94842198
1.559020000E-06,-30.73147744,-30.68410761,-30.24049098,-29.30007401,-28.77181239,-12.71292447,-15.09552639,-15.90809118
1.559020000E-06,-30.6447701,-30.62842329,-30.19852207,-29.28259796,-28.76633554,-12.7040244,-15.0827941,-15.89508866
1.559020000E-06,-30.59364794,-30.58450485,-30.17040845,-29.22420541,-28.71193974,-12.62024948,-15.07307021,-15.77267595
1.559020000E-06,-30.46654474,-30.53469555,-30.12847592,-29.16398491,-28.68742791,-12.58446316,-15.06239195,-15.72044803
1.559020000E-06,-30.44543668,-30.50086376,-30.09263951,-29.13839135,-28.66832911,-12.55793521,-15.05537254,-15.68166212
1.559020000E-06,-30.3054078,-30.44832824,-30.08523896,-29.10059639,-28.62917718,-12.50615235,-15.04481616,-15.60588142
1.559020000E-06,-30.25095644,-30.30940252,-29.98347088,-29.0932657,-28.59332963,-12.46097081,-15.01750547,-15.53976594
1.559020000E-06,-30.16734733,-30.2271897,-29.92543619,-29.05242851,-28.58538073,-12.45140243,-15.00164513,-15.52573372
1.559020000E-06,-30.04947404,-30.08598526,-29.86607166,-29.02499701,-28.57279059,-12.436903,-14.97489364,-15.50438924
1.559020000E-06,-29.97165894,-30.07650855,-29.79126861,-28.99892875,-28.54101254,-12.40186564,-14.97314196,-15.45268817
1.559020000E-06,-29.93530744,-30.05996111,-29.74249971,-28.96239606,-28.49733997,-12.3557309,-14.97019124,-15.38456864
1.559020000E-06,-29.86398806,-29.92289972,-29.63668391,-28.89818955,-28.47912926,-12.33727832,-14.94631718,-15.35728082
1.559020000E-06,-29.76616923,-29.91668947,-29.51880881,-28.88493318,-28.45212071,-12.31099782,-14.94526134,-15.31831582
1.559020000E-06,-29.65063855,-29.86339107,-29.45977799,-28.86505419,-28.42216881,-12.28298314,-14.93648373,-15.27669446
1.559020000E-06,-29.4969765,-29.60795884,-29.36359492,-28.79806719,-28.37339571,-12.23908116,-14.89472908,-15.21140149
1.559020000E-06,-29.41217243,-29.493923,-29.35658801,-28.78663386,-28.36025373,-12.22768937,-14.8761176,-15.19442573
1.559020000E-06,-29.30416319,-29.47531735,-29.22240032,-28.73822434,-28.31975525,-12.19385401,-14.87315323,-15.14387911
1.559020000E-06,-29.26873125,-29.34674424,-29.03702736,-28.66433331,-28.31073666,-12.1865872,-14.85311941,-15.1329936
