wavelength,temp 10,temp 20,temp 30,temp 40,temp 50,temp 25 (500),temp 25 (1000),reference temp 25
1.559030000E-06,-17.88747192,-16.71977983,-28.62427915,-19.96479827,-16.53301291,-20.65033884,-19.6208072,-20.65022846
1.559030000E-06,-17.73070359,-16.6172298,-28.54479744,-19.91135693,-16.50124387,-20.61044782,-19.50436886,-20.61033758
1.559030000E-06,-17.66679264,-16.57044443,-28.45925354,-19.78994018,-16.44838758,-20.54385541,-19.45116707,-20.54374539
1.559030000E-06,-17.63670838,-16.49500898,-28.23304133,-19.7362773,-16.39436826,-20.47561781,-19.36522472,-20.47550803
1.559030000E-06,-17.6195018,-16.39021757,-28.19804675,-19.69701111,-16.27111216,-20.31985026,-19.24572907,-20.31974103
1.559030000E-06,-17.46926576,-16.37109302,-27.96163817,-19.66122184,-16.17946568,-20.2041088,-19.22388166,-20.20399998
1.559030000E-06,-17.44289536,-16.33187545,-27.68434536,-19.59848174,-16.06111136,-20.05471865,-19.17895415,-20.05461036
1.559030000E-06,-17.40759419,-16.25149416,-27.63223399,-19.53077932,-15.94975744,-19.91432149,-19.08670864,-19.91421369
1.559030000E-06,-17.35297617,-16.22302182,-27.55838863,-19.50057512,-15.9124107,-19.86717155,-19.05397141,-19.86706392
1.559030000E-06,-17.29689976,-16.21554505,-27.50826081,-19.45978767,-15.88501851,-19.83245756,-19.04534779,-19.83235006
1.559030000E-06,-17.28146588,-16.19074861,-27.44851199,-19.4319574,-15.80951376,-19.73652614,-19.01665752,-19.736419
1.559030000E-06,-17.23085196,-16.16514501,-27.35937747,-19.42508614,-15.77000523,-19.68622106,-18.98695027,-19.68611411
1.559030000E-06,-17.13142195,-16.15512392,-27.21322186,-19.39426713,-15.67810922,-19.56902965,-18.97528754,-19.56892315
1.559030000E-06,-17.10951168,-16.08284821,-27.17976692,-19.30001841,-15.65768323,-19.54292493,-18.89099335,-19.54281853
1.559030000E-06,-17.08534498,-15.95873304,-27.10128829,-19.2853379,-15.42912918,-19.25149031,-18.74625156,-19.25138504
